"player_id","atp_rank","coach","country","dob","first_name","height","last_name","racket","strong_hand","weight","city","tier","result"
"1",1,"Juan Carlos Ferrera","Spain","2003-05-04T22:00:00.000Z","Carlos",183,"Alcaraz","Babolat","Right",74,"Basel","500","SF"
"1",1,"Juan Carlos Ferrera","Spain","2003-05-04T22:00:00.000Z","Carlos",183,"Alcaraz","Babolat","Right",74,"Astana","500","R32"
"2",2,"Carlos Moya","Spain","1986-06-02T22:00:00.000Z","Rafael",185,"Nadal","Babolat","Left",85,"New York","GS","R16"
"2",2,"Carlos Moya","Spain","1986-06-02T22:00:00.000Z","Rafael",185,"Nadal","Babolat","Left",85,"Cincinnati","1000","R32"
"3",3,"Gilles Cervara","Russia","1996-02-10T23:00:00.000Z","Daniil",198,"Medvedev","Tecnifibre","Right",83,"Vienna","500","Win"
"3",3,"Gilles Cervara","Russia","1996-02-10T23:00:00.000Z","Daniil",198,"Medvedev","Tecnifibre","Right",83,"Astana","500","SF"
"4",4,"Christian Ruud","Norway","1998-12-21T23:00:00.000Z","Casper",183,"Ruud","Yonex","Right",77,"Basel","500","R32"
"4",4,"Christian Ruud","Norway","1998-12-21T23:00:00.000Z","Casper",183,"Ruud","Yonex","Right",77,"Tokyo","500","R32"
"5",5,"Apostolos Tsitsipas","Greece","1998-08-11T22:00:00.000Z","Stefanos",193,"Tsitsipas","Wilson","Right",90,"Vienna","500","R16"
"5",5,"Apostolos Tsitsipas","Greece","1998-08-11T22:00:00.000Z","Stefanos",193,"Tsitsipas","Wilson","Right",90,"Stockholm","250","F"
"6",6,"Sergi Bruguera","Germany","1997-04-19T22:00:00.000Z","Alexandar",198,"Zverev","Head","Right",90,"Paris","GS","SF"
"6",6,"Sergi Bruguera","Germany","1997-04-19T22:00:00.000Z","Alexandar",198,"Zverev","Head","Right",90,"Rome","1000","SF"
"7",7,"Goran Ivanisevic","Serbia","1987-05-21T22:00:00.000Z","Novak",188,"Djokovic","Head","Right",77,"Astana","500","Win"
"7",7,"Goran Ivanisevic","Serbia","1987-05-21T22:00:00.000Z","Novak",188,"Djokovic","Head","Right",77,"Tel Aviv","250","Win"
"8",8,"Frederic Fontang","Canada","2000-08-07T22:00:00.000Z","Felix",193,"Auger-Aliassime","Babolat","Right",88,"Basel","500","Win"
"8",8,"Frederic Fontang","Canada","2000-08-07T22:00:00.000Z","Felix",193,"Auger-Aliassime","Babolat","Right",88,"Antwerp","250","Win"
"9",9,"Fernando Vicente","Russia","1997-10-19T22:00:00.000Z","Andrey",188,"Rublev","Head","Right",75,"Vienna","500","R16"
"9",9,"Fernando Vicente","Russia","1997-10-19T22:00:00.000Z","Andrey",188,"Rublev","Head","Right",75,"Gijon","250","Win"
"10",10,"Craig Boynton","Poland","1997-02-10T23:00:00.000Z","Hubert",196,"Hurkacz","Yonex","Right",81,"Vienna","500","QF"
"10",10,"Craig Boynton","Poland","1997-02-10T23:00:00.000Z","Hubert",196,"Hurkacz","Yonex","Right",81,"Antwerp","250","QF"
